,Diagnoses,Count
1235,Pleural effusion in other conditions classified elsewhere,1
1236,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",1
1237,Fitting and adjustment of cardiac pacemaker,1
1238,Renal agenesis and dysgenesis,1
1239,Regional enteritis of unspecified site,1
1240,Infection with microorganisms resistant to penicillins,1
1241,"Late effects of cerebrovascular disease, aphasia",1
1242,Closed fracture of intertrochanteric section of neck of femur,1
1243,Other symbolic dysfunction,1
1244,Chronic obstructive pulmonary disease with (acute) exacerbation,1
1245,Other specified disorders of adrenal gland,1
1246,"Migraine with aura, not intractable, without status migrainosus",1
1247,"Retinal artery branch occlusion, unspecified eye",1
1248,Enterococcus as the cause of diseases classified elsewhere,1
1249,Drug induced constipation,1
1250,Resistance to vancomycin,1
1251,Resistance to quinolones and fluoroquinolones,1
1252,Full incontinence of feces,1
1253,"Pressure ulcer of other site, unspecified stage",1
1254,Malignant neoplasm of central portion of female breast,1
1255,"Chronic ischemic heart disease, unspecified",1
1256,Rheumatic disorders of both aortic and tricuspid valves,1
1257,Non-pressure chronic ulcer of other part of left foot with necrosis of muscle,1
1258,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity,1
1259,Type 2 diabetes mellitus with other skin complications,1
1260,Cellulitis and abscess of face,1
1261,"Cannabis abuse, continuous",1
1262,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,1
1263,Acute pyelonephritis,1
1264,Eosinophilia,1
1265,Other frontotemporal dementia,1
1266,"Adverse effect of other antihypertensive drugs, initial encounter",1
1267,"Retinal vascular occlusion, unspecified",1
1268,"Pain in joint, site unspecified",1
1269,Contact with or exposure to other viral diseases,1
1270,"Body Mass Index 37.0-37.9, adult",1
1271,"Legal blindness, as defined in USA",1
1272,"Displaced comminuted fracture of shaft of right tibia, initial encounter for closed fracture",1
1273,Unspecified place in other specified residential institution as the place of occurrence of the external cause,1
1274,"Other cause of strike by thrown, projected or falling object, initial encounter",1
1275,Family history of malignant neoplasm of digestive organs,1
1276,Closed fracture of two ribs,1
1277,Secondary malignant neoplasm of mediastinum,1
1278,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",1
1279,"Contusion of left foot, initial encounter",1
1280,"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding",1
1281,Multiple involvement of mitral and aortic valves,1
1282,Personal history of hodgkin's disease,1
1283,Other acquired absence of organ,1
1284,Occlusion and stenosis of left carotid artery,1
1285,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",1
1286,Heart valve replaced by transplant,1
1287,Aortocoronary bypass status,1
1288,Occlusion and stenosis of right carotid artery,1
1289,Encounter for attention to other artificial openings of digestive tract,1
1290,Encounter for fitting and adjustment of other specified devices,1
1291,"Body Mass Index 36.0-36.9, adult",1
1292,Resistance to other specified antimicrobial drug,1
1293,Long QT syndrome,1
1294,"Adverse effect of unspecified antiepileptic and sedative-hypnotic drugs, initial encounter",1
1295,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter",1
1296,"Cannabis dependence, uncomplicated",1
1297,Sleep terrors [night terrors],1
1298,Other specified hypothyroidism,1
1299,Other specified disorders of arteries and arterioles,1
1300,Cholangitis,1
1301,Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure,1
1302,Acute diastolic (congestive) heart failure,1
1303,Hemothorax,1
1304,Accidental puncture and laceration of a circulatory system organ or structure during other procedure,1
1305,Postprocedural heart failure following other surgery,1
1306,Obstructive chronic bronchitis with (acute) exacerbation,1
1307,Fall resulting in striking against other object,1
1308,"Impacted cerumen, unspecified ear",1
1309,Unspecified cataract,1
1310,Encounter for attention to tracheostomy,1
1311,"Adverse effect of penicillins, initial encounter",1
1312,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",1
1313,Hepatic encephalopathy,1
1314,"Esophageal varices in diseases classified elsewhere, with bleeding",1
1315,Other pulmonary embolism without acute cor pulmonale,1
1316,Ventricular tachycardia,1
1317,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",1
1318,Pleurisy without mention of effusion or current tuberculosis,1
1319,Actinic keratosis,1
1320,Palmar fascial fibromatosis [Dupuytren],1
1321,"Allergic rhinitis, unspecified",1
1322,"Fall on same level, unspecified, subsequent encounter",1
1323,Saddle embolus of pulmonary artery with acute cor pulmonale,1
1324,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",1
1325,Dysmenorrhea,1
1326,Drug-induced mood disorder,1
1327,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",1
1328,"Cocaine use, unspecified, uncomplicated",1
1329,"Alcohol use, unspecified with unspecified alcohol-induced disorder",1
1330,Hallucinations,1
1331,Dry eye syndrome of bilateral lacrimal glands,1
1332,"Unspecified injury of left hip, initial encounter",1
1333,"Anorexia nervosa, restricting type",1
1334,Periapical abscess without sinus,1
1335,Other psychotic disorder not due to a substance or known physiological condition,1
1336,Cervicalgia,1
1337,Acute embolism and thrombosis of deep veins of right upper extremity,1
1338,"Other displaced fracture of upper end of right humerus, subsequent encounter for fracture with routine healing",1
1339,"Anoxic brain damage, not elsewhere classified",1
1340,"Fall from other slipping, tripping, or stumbling",1
1341,Unspecified disorder of thyroid,1
1342,"Flatulence, eructation, and gas pain",1
1343,Iatrogenic pneumothorax,1
1344,"Bacterial pneumonia, unspecified",1
1345,"Personal history of surgery to heart and great vessels, presenting hazards to health",1
1346,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",1
1347,Empyema without mention of fistula,1
1348,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,1
1349,Panic disorder without agoraphobia,1
1350,Mononeuritis of unspecified site,1
1351,Postprocedural pneumothorax,1
1352,Age-related osteoporosis without current pathological fracture,1
1353,"Psoriasis, unspecified",1
1354,"Nystagmus, unspecified",1
1355,"Opioid abuse, in remission",1
1356,Other paved roadways as the place of occurrence of the external cause,1
1357,"Unspecified injury of left shoulder and upper arm, initial encounter",1
1358,"Visual discomfort, bilateral",1
1359,"Hemiplegia, unspecified, affecting unspecified side",1
1360,Intravenous anesthetics causing adverse effects in therapeutic use,1
1361,Chronic glomerulonephritis with unspecified pathological lesion in kidney,1
1362,Other Staphylococcus pneumonia,1
1363,Acute glomerulonephritis with unspecified pathological lesion in kidney,1
1364,"Arthropathy, unspecified, lower leg",1
1365,Other specified disorders of biliary tract,1
1366,"Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident, sequela",1
1367,Chronic pancreatitis,1
1368,Personal history of other diseases of digestive system,1
1369,Other specified diseases of pancreas,1
1370,"Abdominal pain, other specified site",1
1371,Other acute pain,1
1372,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",1
1373,Unspecified coma,1
1374,Septicemia due to anaerobes,1
1375,Unspecified hearing loss,1
1376,Other specified septicemias,1
1377,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",1
1378,"Car occupant (driver) (passenger) injured in unspecified traffic accident, initial encounter",1
1379,Acute venous embolism and thrombosis of subclavian veins,1
1380,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",1
1381,Gas pain,1
1382,Acute embolism and thrombosis of left popliteal vein,1
1383,"Personal history of other endocrine, nutritional and metabolic disease",1
1384,"Cannabis abuse, uncomplicated",1
1385,Pain in right shoulder,1
1386,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,1
1387,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified",1
